pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_radj,pl_masse,pl_dens,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass
11 Com b,11 Com,2,1,Radial Velocity,2007,,,,,,,,,2.6
11 Com b,11 Com,2,1,Radial Velocity,2007,326.03,,,,0.231,,4742,19,2.7
11 UMi b,11 UMi,1,1,Radial Velocity,2009,516.21997,,,,0.08,,4213,29.79,2.78
11 UMi b,11 UMi,1,1,Radial Velocity,2009,516.22,,,,0.08,,4340,24.08,1.8
11 UMi b,11 UMi,1,1,Radial Velocity,2009,,,,,,,,,1.7
14 And b,14 And,1,1,Radial Velocity,2008,185.84,,,,0,,4813,11,2.2
14 And b,14 And,1,1,Radial Velocity,2008,,,,,,,,,1.2
14 Her b,14 Her,1,1,Radial Velocity,2002,1773.40002,,,,0.37,,5338,0.93,0.9
14 Her b,14 Her,1,1,Radial Velocity,2002,1766,,,,0.359,,5280,1,0.91
14 Her b,14 Her,1,1,Radial Velocity,2002,1773.4,,,,0.369,,,,
14 Her b,14 Her,1,1,Radial Velocity,2002,1796.4,,,,0.338,,5255,,0.9
14 Her b,14 Her,1,1,Radial Velocity,2002,1724,,,,0.37,,,,1
14 Her b,14 Her,1,1,Radial Velocity,2002,,,,,0.357,,,,0.9
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,799.5,,,,0.689,,5747,1.13,1.03
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,799.5,,,,0.689,,,,
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,800.8,,,,0.634,,5760,,1
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,798.5,,,,0.681,,5674,,0.99
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,798.5,,,,0.68,,5750,1.13,1.08
18 Del b,18 Del,2,1,Radial Velocity,2008,,,,,,,,,2.1
18 Del b,18 Del,2,1,Radial Velocity,2008,993.3,,,,0.08,,4979,8.5,2.3
