pl_hostname,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_radj,st_teff,st_mass,st_rad,pl_trandur,pl_ratdor
11 Com,Radial Velocity,1,326.03000000,1.290000,0.231000,19.40000,,4742.00,2.70,19.00,,
11 UMi,Radial Velocity,1,516.21997000,1.530000,0.080000,14.74000,,4213.00,2.78,29.79,,
14 And,Radial Velocity,1,185.84000000,0.830000,0.000000,4.80000,,4813.00,2.20,11.00,,
14 Her,Radial Velocity,1,1773.40002000,2.930000,0.370000,4.66000,,5338.00,0.90,0.93,,
16 Cyg B,Radial Velocity,1,798.50000000,1.660000,0.680000,1.78000,,5750.00,1.08,1.13,,
18 Del,Radial Velocity,1,993.30000000,2.600000,0.080000,10.30000,,4979.00,2.30,8.50,,
1RXS J160929.1-210524,Imaging,1,,330.000000,,8.00000,,4060.00,0.85,,,
24 Boo,Radial Velocity,1,30.35060000,0.190000,0.042000,0.91000,,4893.00,0.99,10.64,,
24 Sex,Radial Velocity,2,452.80000000,1.333000,0.090000,1.99000,,5098.00,1.54,4.90,,
24 Sex,Radial Velocity,2,883.00000000,2.080000,0.290000,0.86000,,5098.00,1.54,4.90,,
2MASS J01225093-2439505,Imaging,1,,52.000000,,24.50000,,3530.00,0.40,,,
2MASS J02192210-3925225,Imaging,1,,156.000000,,13.90000,1.440,3064.00,0.11,0.28,,
2MASS J04414489+2301513,Imaging,1,,15.000000,,7.50000,,,0.02,,,
2MASS J12073346-3932539,Imaging,1,,46.000000,,4.00000,,,0.02,,,
2MASS J19383260+4603591,Eclipse Timing Variations,1,416.00000000,0.920000,,1.90000,,,0.48,,,
2MASS J21402931+1625183 A,Imaging,1,7336.50000000,,0.260000,20.95000,0.920,2300.00,0.08,0.12,,
2MASS J22362452+4751425,Imaging,1,,230.000000,,12.50000,,4045.00,0.60,,,
30 Ari B,Radial Velocity,1,335.10001000,0.990000,0.290000,13.82000,,6331.00,1.93,1.41,,
4 UMa,Radial Velocity,1,269.30000000,0.870000,0.432000,7.10000,,4415.00,1.23,18.11,,
42 Dra,Radial Velocity,1,479.10000000,1.190000,0.380000,3.88000,,4200.00,0.98,22.03,,
47 UMa,Radial Velocity,3,1078.00000000,2.100000,0.032000,2.53000,,5892.00,1.03,1.23,,
47 UMa,Radial Velocity,3,2391.00000000,3.600000,0.098000,0.54000,,5892.00,1.03,1.23,,
47 UMa,Radial Velocity,3,14002.00000000,11.600000,0.160000,1.64000,,5892.00,1.03,1.23,,
51 Eri,Imaging,1,11688.00000000,12.000000,0.450000,,,,1.75,,,
51 Peg,Radial Velocity,1,4.23078500,0.052700,0.013000,0.47200,,5793.00,1.12,1.20,,
55 Cnc,Radial Velocity,5,14.65152000,0.115227,0.003400,0.83060,,5196.00,0.91,0.94,,
55 Cnc,Radial Velocity,5,44.41750000,0.241376,0.020000,0.17140,,5196.00,0.91,0.94,,
