pl_name,hostname,sy_snum,sy_pnum,discoverymethod,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens
11 Com b,11 Com,2,1,Radial Velocity,,,2.60,,,,,,
11 Com b,11 Com,2,1,Radial Velocity,4742.00,19.00,2.70,-0.350,[Fe/H],2.243,2.31,,
11 UMi b,11 UMi,1,1,Radial Velocity,4213.00,29.79,2.78,-0.020,[Fe/H],,1.93,,
11 UMi b,11 UMi,1,1,Radial Velocity,4340.00,24.08,1.80,0.040,[Fe/H],,1.60,1.560,
11 UMi b,11 UMi,1,1,Radial Velocity,,,1.70,,,,,,
14 And b,14 And,1,1,Radial Velocity,4813.00,11.00,2.20,-0.240,[Fe/H],1.763,2.63,,
14 And b,14 And,1,1,Radial Velocity,,,1.20,,,,,,
14 Her b,14 Her,1,1,Radial Velocity,5338.00,0.93,0.90,0.410,[Fe/H],,4.45,,
14 Her b,14 Her,1,1,Radial Velocity,5280.00,1.00,0.91,0.400,[M/H],0.704,4.40,,0.9036
14 Her b,14 Her,1,1,Radial Velocity,,,,,,,,,
14 Her b,14 Her,1,1,Radial Velocity,5255.00,,0.90,0.510,[Fe/H],-0.150,4.40,3.900,
14 Her b,14 Her,1,1,Radial Velocity,,,1.00,0.350,[Fe/H],,,,
14 Her b,14 Her,1,1,Radial Velocity,,,0.90,,,,,,
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,5747.00,1.13,1.03,0.060,[M/H],1.251,4.35,,0.7171
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,,,,,,,,,
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,5760.00,,1.00,0.050,[Fe/H],,4.35,,
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,5674.00,,0.99,0.038,[Fe/H],,4.36,,
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,5750.00,1.13,1.08,0.060,[Fe/H],,4.36,,
18 Del b,18 Del,2,1,Radial Velocity,,,2.10,,,,,,
18 Del b,18 Del,2,1,Radial Velocity,4979.00,8.50,2.30,-0.052,[Fe/H],1.602,2.82,,
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,4060.00,,0.85,,,-0.370,,0.005,
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,4060.00,1.35,0.85,,,,,0.005,
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,3993.00,1.31,0.62,,,0.395,4.00,,0.2751
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,4060.00,,0.85,,,-0.370,,0.010,
24 Boo b,24 Boo,1,1,Radial Velocity,4893.00,10.64,0.99,-0.770,[Fe/H],1.774,2.42,6.920,
24 Sex b,24 Sex,1,2,Radial Velocity,5098.00,4.90,1.54,-0.030,[Fe/H],1.164,3.50,2.700,
24 Sex c,24 Sex,1,2,Radial Velocity,5098.00,4.90,1.54,-0.030,[Fe/H],1.164,3.50,2.700,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,3309.00,0.37,0.35,,,0.015,4.86,,7.1772
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,3530.00,,0.40,,,-1.720,,0.120,
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,Imaging,3064.00,0.28,0.11,,,-2.230,4.59,0.035,
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,Imaging,,,0.02,,,,,0.001,
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2825.00,0.22,0.19,,,0.003,5.03,,17.9309
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,,,0.02,,,,,0.008,
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,2,Eclipse Timing Variations,,,0.48,,,,,,
2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,1,1,Imaging,2300.00,0.12,0.08,,,-3.480,,,
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,Imaging,4045.00,,0.60,,,,,0.120,
30 Ari B b,30 Ari B,4,1,Radial Velocity,6331.00,1.41,1.93,0.190,[Fe/H],,4.43,,
30 Ari B b,30 Ari B,4,1,Radial Velocity,6300.00,1.13,1.16,0.245,[Fe/H],,4.50,0.910,
30 Ari B b,30 Ari B,4,1,Radial Velocity,,1.13,1.16,,,,,,
4 UMa b,4 UMa,1,1,Radial Velocity,4415.00,18.11,1.23,-0.250,[Fe/H],,1.80,4.604,
42 Dra b,42 Dra,2,1,Radial Velocity,4200.00,22.03,0.98,-0.460,[Fe/H],,1.71,9.490,
47 UMa b,47 UMa,1,3,Radial Velocity,5882.00,,1.06,0.040,[Fe/H],,,,
47 UMa b,47 UMa,1,3,Radial Velocity,,,,,,,,,
47 UMa b,47 UMa,1,3,Radial Velocity,5872.00,1.21,1.06,0.040,[M/H],1.577,4.30,,0.5934
47 UMa b,47 UMa,1,3,Radial Velocity,,,,,,,,,
47 UMa c,47 UMa,1,3,Radial Velocity,5872.00,1.21,1.06,0.040,[M/H],1.577,4.30,,0.5934
47 UMa c,47 UMa,1,3,Radial Velocity,,,,,,,,,
47 UMa d,47 UMa,1,3,Radial Velocity,5872.00,1.21,1.06,0.040,[M/H],1.577,4.30,,0.5934
51 Eri b,51 Eri,3,1,Imaging,,,1.75,-0.027,[M/H],0.850,,0.020,
51 Eri b,51 Eri,3,1,Imaging,7295.00,1.49,1.65,,,5.644,4.31,,0.5016
51 Eri b,51 Eri,3,1,Imaging,7295.00,1.49,1.65,,,5.644,4.31,,0.5016
51 Peg b,51 Peg,1,1,Radial Velocity,,,,,,,,,
51 Peg b,51 Peg,1,1,Radial Velocity,,,1.04,,,,,,
51 Peg b,51 Peg,1,1,Radial Velocity,5773.00,1.29,,0.200,[M/H],,4.32,10.000,
51 Peg b,51 Peg,1,1,Radial Velocity,5758.00,1.18,1.03,0.180,[M/H],1.369,4.31,,0.6339
55 Cnc b,55 Cnc,2,5,Radial Velocity,5250.00,0.96,0.90,0.350,[M/H],0.635,4.42,,1.0062
55 Cnc b,55 Cnc,2,5,Radial Velocity,5250.00,0.96,0.90,0.350,[M/H],0.635,4.42,,1.0062
55 Cnc b,55 Cnc,2,5,Radial Velocity,,,0.95,0.270,[Fe/H],,,5.500,
55 Cnc b,55 Cnc,2,5,Radial Velocity,,,,,,,,,
55 Cnc b,55 Cnc,2,5,Radial Velocity,5250.00,0.96,0.90,0.350,[M/H],0.635,4.42,,1.0062
55 Cnc b,55 Cnc,2,5,Radial Velocity,,,0.95,,,,,,
55 Cnc b,55 Cnc,2,5,Radial Velocity,,,,,,,,,
55 Cnc b,55 Cnc,2,5,Radial Velocity,5200.00,,0.85,0.230,[Fe/H],,4.50,5.000,
55 Cnc b,55 Cnc,2,5,Radial Velocity,,,0.95,,,,,,
55 Cnc b,55 Cnc,2,5,Radial Velocity,5250.00,0.96,0.90,0.350,[M/H],0.635,4.42,,1.0062
55 Cnc c,55 Cnc,2,5,Radial Velocity,5250.00,0.96,0.90,0.350,[M/H],0.635,4.42,,1.0062
55 Cnc c,55 Cnc,2,5,Radial Velocity,5250.00,0.96,0.90,0.350,[M/H],0.635,4.42,,1.0062
55 Cnc c,55 Cnc,2,5,Radial Velocity,,,0.95,,,,,,
55 Cnc c,55 Cnc,2,5,Radial Velocity,5250.00,0.96,0.90,0.350,[M/H],0.635,4.42,,1.0062
55 Cnc c,55 Cnc,2,5,Radial Velocity,,,0.95,,,,,,
55 Cnc c,55 Cnc,2,5,Radial Velocity,5250.00,0.96,0.90,0.350,[M/H],0.635,4.42,,1.0062
55 Cnc d,55 Cnc,2,5,Radial Velocity,,,0.95,,,,,,
55 Cnc d,55 Cnc,2,5,Radial Velocity,,,0.95,,,,,,
55 Cnc d,55 Cnc,2,5,Radial Velocity,5250.00,0.96,0.90,0.350,[M/H],0.635,4.42,,1.0062
55 Cnc d,55 Cnc,2,5,Radial Velocity,5250.00,0.96,0.90,0.350,[M/H],0.635,4.42,,1.0062
55 Cnc d,55 Cnc,2,5,Radial Velocity,,,0.95,0.270,[Fe/H],,,5.500,
55 Cnc d,55 Cnc,2,5,Radial Velocity,,,,,,,,,
55 Cnc d,55 Cnc,2,5,Radial Velocity,5250.00,0.96,0.90,0.350,[M/H],0.635,4.42,,1.0062
55 Cnc d,55 Cnc,2,5,Radial Velocity,5250.00,0.96,0.90,0.350,[M/H],0.635,4.42,,1.0062
55 Cnc e,55 Cnc,2,5,Radial Velocity,5250.00,0.96,0.90,0.350,[M/H],0.635,4.42,,1.0062
55 Cnc e,55 Cnc,2,5,Radial Velocity,5250.00,0.96,0.90,0.350,[M/H],0.635,4.42,,1.0062
55 Cnc e,55 Cnc,2,5,Radial Velocity,5250.00,0.96,0.90,0.350,[M/H],0.635,4.42,,1.0062
55 Cnc e,55 Cnc,2,5,Radial Velocity,5172.00,0.95,0.87,0.350,[Fe/H],,4.43,,1.4100
55 Cnc e,55 Cnc,2,5,Radial Velocity,5250.00,0.96,0.90,0.350,[M/H],0.635,4.42,,1.0062
55 Cnc e,55 Cnc,2,5,Radial Velocity,,,0.95,,,,,,
55 Cnc e,55 Cnc,2,5,Radial Velocity,,,0.95,,,,,,
55 Cnc e,55 Cnc,2,5,Radial Velocity,5250.00,0.96,0.90,0.350,[M/H],0.635,4.42,,1.0062
55 Cnc e,55 Cnc,2,5,Radial Velocity,5234.00,0.94,0.91,0.310,[Fe/H],,4.45,,
55 Cnc e,55 Cnc,2,5,Radial Velocity,,0.94,0.96,,,,,,
55 Cnc e,55 Cnc,2,5,Radial Velocity,,,,,,,,,
55 Cnc f,55 Cnc,2,5,Radial Velocity,5250.00,0.96,0.90,0.350,[M/H],0.635,4.42,,1.0062
55 Cnc f,55 Cnc,2,5,Radial Velocity,5250.00,0.96,0.90,0.350,[M/H],0.635,4.42,,1.0062
55 Cnc f,55 Cnc,2,5,Radial Velocity,5250.00,0.96,0.90,0.350,[M/H],0.635,4.42,,1.0062
55 Cnc f,55 Cnc,2,5,Radial Velocity,5250.00,0.96,0.90,0.350,[M/H],0.635,4.42,,1.0062
55 Cnc f,55 Cnc,2,5,Radial Velocity,,,0.95,,,,,,
6 Lyn b,6 Lyn,1,1,Radial Velocity,4978.00,5.20,1.70,-0.130,[Fe/H],1.176,3.16,,
6 Lyn b,6 Lyn,1,1,Radial Velocity,,5.20,1.82,,,,,,
6 Lyn b,6 Lyn,1,1,Radial Velocity,4938.00,5.20,1.44,,,,3.19,,
